datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_second,label
1,0.9.10.128,1130,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,1177116191,1192,10.0.0.2,80,17,0,0,35,0,0,0,0,0,0.0,1
1,1.224.123.22,1198,10.0.0.2,80,17,0,0,35,0,0,0,0,0,0.0,1
1,1.233.21.0,1368,10.0.0.2,80,17,0,0,18,0,0,0,0,0,0.0,1
1,1233233224,1298,10.0.0.2,80,17,0,0,25,0,0,0,0,0,0.0,1
1,100.112.35.18,1117,10.0.0.2,80,17,0,0,43,0,0,0,0,0,0.0,1
1,100221115138,1123,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,100.224.100.91,1228,10.0.0.2,80,17,0,0,32,0,0,0,0,0,0.0,1
1,102.107.222.60,1357,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,102.162.227.18,1154,10.0.0.2,80,17,0,0,39,0,0,0,0,0,0.0,1
1,102.98.0.137,1343,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,103.227.18.177,1211,10.0.0.2,80,17,0,0,33,0,0,0,0,0,0.0,1
1,104.14.200.177,1278,10.0.0.2,80,17,0,0,27,0,0,0,0,0,0.0,1
1,104.35.104.77,1308,10.0.0.2,80,17,0,0,24,0,0,0,0,0,0.0,1
1,105.0.238.253,1151,10.0.0.2,80,17,0,0,39,0,0,0,0,0,0.0,1
1,105249219134,1114,10.0.0.2,80,17,0,0,43,0,0,0,0,0,0.0,1
1,107149165211,1305,10.0.0.2,80,17,0,0,24,0,0,0,0,0,0.0,1
1,107.233.221.82,1201,10.0.0.2,80,17,0,0,34,0,0,0,0,0,0.0,1
1,107.42.91.100,1323,10.0.0.2,80,17,0,0,22,0,0,0,0,0,0.0,1
1,107.73.229.245,1293,10.0.0.2,80,17,0,0,25,0,0,0,0,0,0.0,1
1,107.78.128.233,1182,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,107.84.105.25,1115,10.0.0.2,80,17,0,0,43,0,0,0,0,0,0.0,1
1,107.96.207.158,1105,10.0.0.2,80,17,0,0,44,0,0,0,0,0,0.0,1
1,109137128227,1348,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,109.174.238.96,1088,10.0.0.2,80,17,0,0,46,0,0,0,0,0,0.0,1
1,109.215.18.224,1377,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,109.8.163.11,1378,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,11.66.181.144,1286,10.0.0.2,80,17,0,0,26,0,0,0,0,0,0.0,1
